Region,Dosis,Fecha,Cantidad
Antofagasta,Primera,2021-01-02,0
Antofagasta,Segunda,2021-01-02,0
Atacama,Primera,2021-01-02,0
Atacama,Segunda,2021-01-02,0
Coquimbo,Primera,2021-01-02,0
Coquimbo,Segunda,2021-01-02,0
Valparaíso,Primera,2021-01-02,0
Valparaíso,Segunda,2021-01-02,0
Metropolitana,Primera,2021-01-02,5715
Metropolitana,Segunda,2021-01-02,0
O’Higgins,Primera,2021-01-02,0
O’Higgins,Segunda,2021-01-02,0
Maule,Primera,2021-01-02,0
Maule,Segunda,2021-01-02,0
Ñuble,Primera,2021-01-02,0
Ñuble,Segunda,2021-01-02,0
Biobío,Primera,2021-01-02,2059
Biobío,Segunda,2021-01-02,0
Araucanía,Primera,2021-01-02,711
Araucanía,Segunda,2021-01-02,0
Los Ríos,Primera,2021-01-02,0
Los Ríos,Segunda,2021-01-02,0
Los Lagos,Primera,2021-01-02,0
Los Lagos,Segunda,2021-01-02,0
Aysén,Primera,2021-01-02,0
Aysén,Segunda,2021-01-02,0
Magallanes,Primera,2021-01-02,165
Magallanes,Segunda,2021-01-02,0
Total,Primera,2021-01-03,8650
Total,Segunda,2021-01-03,0
Arica y Parinacota,Primera,2021-01-03,0
Arica y Parinacota,Segunda,2021-01-03,0
Tarapacá,Primera,2021-01-03,0
Tarapacá,Segunda,2021-01-03,0
Antofagasta,Primera,2021-01-03,0
Antofagasta,Segunda,2021-01-03,0
Atacama,Primera,2021-01-03,0
Atacama,Segunda,2021-01-03,0
Coquimbo,Primera,2021-01-03,0
Coquimbo,Segunda,2021-01-03,0
Valparaíso,Primera,2021-01-03,0
Valparaíso,Segunda,2021-01-03,0
Metropolitana,Primera,2021-01-03,5715
Metropolitana,Segunda,2021-01-03,0
O’Higgins,Primera,2021-01-03,0
O’Higgins,Segunda,2021-01-03,0
Maule,Primera,2021-01-03,0
Maule,Segunda,2021-01-03,0
Ñuble,Primera,2021-01-03,0
Ñuble,Segunda,2021-01-03,0
Biobío,Primera,2021-01-03,2059
Biobío,Segunda,2021-01-03,0
Araucanía,Primera,2021-01-03,711
Araucanía,Segunda,2021-01-03,0
Los Ríos,Primera,2021-01-03,0
Los Ríos,Segunda,2021-01-03,0
Los Lagos,Primera,2021-01-03,0
Los Lagos,Segunda,2021-01-03,0
Aysén,Primera,2021-01-03,0
Aysén,Segunda,2021-01-03,0
Magallanes,Primera,2021-01-03,165
Magallanes,Segunda,2021-01-03,0
